name,ingredients,minutes,tags
Garlic Butter Chicken Thighs,"chicken thighs, garlic, butter, olive oil, salt, pepper, thyme",30,"chicken, dinner, easy"
Simple Fried Rice,"rice, eggs, soy sauce, garlic, onion, peas, carrots, vegetable oil",20,"rice, chinese, quick"
Spinach and Garlic Pasta,"pasta, spinach, garlic, olive oil, parmesan, red pepper flakes",20,"pasta, vegetarian, quick"
Classic Tomato Soup,"tomatoes, onion, garlic, vegetable broth, butter, cream, basil",35,"soup, vegetarian, comfort food"
Chicken and Rice Skillet,"chicken breast, rice, onion, garlic, chicken broth, bell pepper",35,"chicken, rice, one pan"
Lentil Curry,"lentils, onion, garlic, ginger, tomatoes, coconut milk, curry powder",40,"vegan, indian, curry"
Shrimp Stir Fry,"shrimp, soy sauce, garlic, ginger, bell pepper, broccoli, vegetable oil",20,"seafood, chinese, quick"
Baked Salmon with Lemon,"salmon, lemon, olive oil, garlic, dill, salt, pepper",25,"seafood, healthy, easy"
Vegetable Fried Noodles,"noodles, cabbage, carrots, soy sauce, garlic, onion, vegetable oil",20,"noodles, vegetarian, asian"
Chickpea Spinach Curry,"chickpeas, spinach, onion, garlic, tomatoes, cumin, coconut milk",30,"vegan, indian, curry"
Egg Fried Rice,"rice, eggs, soy sauce, green onion, garlic, vegetable oil",15,"rice, quick, breakfast"
Chicken Tikka Masala,"chicken thighs, yogurt, tomatoes, cream, garlic, ginger, garam masala",45,"chicken, indian, curry"
Mushroom Risotto,"arborio rice, mushrooms, onion, garlic, parmesan, butter, vegetable broth",40,"rice, vegetarian, italian"
Beef Stir Fry with Broccoli,"beef strips, broccoli, soy sauce, garlic, ginger, cornstarch, vegetable oil",25,"beef, chinese, quick"
Caprese Salad,"tomatoes, mozzarella, basil, olive oil, balsamic vinegar, salt",10,"salad, vegetarian, no cook"
Black Bean Tacos,"black beans, tortillas, onion, garlic, cumin, lime, cilantro",20,"vegan, mexican, quick"
Creamy Garlic Mushroom Pasta,"pasta, mushrooms, garlic, cream, parmesan, butter, parsley",25,"pasta, vegetarian, comfort food"
Thai Basil Chicken,"chicken breast, basil, garlic, chili, soy sauce, fish sauce, vegetable oil",20,"chicken, thai, quick"
Roasted Vegetable Medley,"potatoes, carrots, zucchini, onion, olive oil, garlic, rosemary",40,"vegan, side dish, roasted"
Tomato Basil Bruschetta,"baguette, tomatoes, basil, garlic, olive oil, balsamic vinegar",15,"appetizer, vegetarian, easy"
Chicken Noodle Soup,"chicken breast, noodles, carrots, celery, onion, garlic, chicken broth",40,"soup, chicken, comfort food"
Vegetable Omelette,"eggs, spinach, onion, bell pepper, cheese, salt, pepper",10,"breakfast, vegetarian, quick"
Pesto Pasta,"pasta, basil, pine nuts, parmesan, garlic, olive oil",20,"pasta, vegetarian, quick"
Baked Sweet Potato with Chickpeas,"sweet potato, chickpeas, olive oil, cumin, paprika, tahini",35,"vegan, healthy, roasted"
Chicken Fajitas,"chicken breast, bell pepper, onion, lime, cumin, chili powder, tortillas",25,"chicken, mexican, quick"
Coconut Curry Vegetables,"cauliflower, carrots, peas, coconut milk, curry powder, onion, garlic",30,"vegan, curry, indian"
Garlic Shrimp Pasta,"pasta, shrimp, garlic, butter, white wine, parsley, red pepper flakes",25,"pasta, seafood, quick"
Vegetable Fried Rice,"rice, carrots, peas, corn, soy sauce, garlic, eggs",20,"rice, vegetarian, quick"
Chicken Caesar Salad,"chicken breast, romaine lettuce, parmesan, croutons, caesar dressing",20,"salad, chicken, quick"
Baked Ziti,"pasta, marinara sauce, mozzarella, ricotta, parmesan, garlic, basil",45,"pasta, vegetarian, comfort food"
